time	V(n009)
2.450269047604804e-04	2.120585e+00
2.460269047604804e-04	2.175624e+00
2.470269047604805e-04	2.240560e+00
2.480269047604805e-04	2.314743e+00
2.490269047604805e-04	2.396175e+00
2.500269047604805e-04	2.481921e+00
2.510269047604806e-04	2.568307e+00
2.520269047604806e-04	2.651550e+00
2.530269047604806e-04	2.728436e+00
2.540269047604806e-04	2.796705e+00
2.550269047604807e-04	2.855237e+00
2.560269047604807e-04	2.903872e+00
2.570269047604807e-04	2.943143e+00
2.580269047604807e-04	2.973942e+00
2.600269047604807e-04	3.014185e+00
2.610269047604808e-04	3.025018e+00
2.626972006804306e-04	3.031861e+00
2.635710928410187e-04	3.029855e+00
2.649920501329801e-04	3.018201e+00
2.672823837609544e-04	2.974061e+00
2.682823837609544e-04	2.943118e+00
2.685323837609544e-04	2.933803e+00
2.690323837609544e-04	2.914024e+00
2.700156273921670e-04	2.867892e+00
2.710156273921671e-04	2.810927e+00
2.720156273921671e-04	2.743999e+00
2.730156273921671e-04	2.667896e+00
2.740156273921671e-04	2.584779e+00
2.750156273921672e-04	2.497727e+00
2.760156273921672e-04	2.410497e+00
2.770156273921672e-04	2.326880e+00
2.780156273921672e-04	2.250025e+00
2.790156273921673e-04	2.182082e+00
2.800156273921673e-04	2.124048e+00
2.810156273921673e-04	2.075980e+00
2.820156273921673e-04	2.037264e+00
2.830156273921674e-04	2.006960e+00
2.850156273921674e-04	1.967426e+00
2.860156273921674e-04	1.956791e+00
2.876928871057551e-04	1.950035e+00
2.885640697815219e-04	1.951983e+00
2.899806540054949e-04	1.963314e+00
2.922641739059540e-04	2.006316e+00
2.932641739059540e-04	2.036627e+00
2.935141739059540e-04	2.045770e+00
2.940141739059540e-04	2.065201e+00
2.950141739059540e-04	2.111502e+00
2.960141739059540e-04	2.167999e+00
2.970141739059540e-04	2.234639e+00
2.980141739059541e-04	2.310753e+00
2.990141739059541e-04	2.394286e+00
3.000141739059541e-04	2.482228e+00
3.010141739059541e-04	2.570811e+00
3.020141739059542e-04	2.656160e+00
3.030141739059542e-04	2.734982e+00
3.040141739059542e-04	2.804966e+00
3.050141739059542e-04	2.864965e+00
3.060141739059543e-04	2.914819e+00
3.070141739059543e-04	2.955076e+00
3.080141739059543e-04	2.986650e+00
3.100141739059543e-04	3.027919e+00
3.110141739059543e-04	3.039038e+00
3.126923310145096e-04	3.046093e+00
3.135631643901827e-04	3.044045e+00
3.149791848137600e-04	3.032192e+00
3.172618260575266e-04	2.987340e+00
3.182618260575267e-04	2.955793e+00
3.185118260575266e-04	2.946293e+00
3.190118260575266e-04	2.926119e+00
3.199955815632634e-04	2.879017e+00
3.209955815632634e-04	2.820847e+00
3.219955815632634e-04	2.752456e+00
3.229955815632634e-04	2.674628e+00
3.239955815632635e-04	2.589550e+00
3.249955815632635e-04	2.500356e+00
3.259955815632635e-04	2.410889e+00
3.269955815632635e-04	2.325039e+00
3.279955815632636e-04	2.246052e+00
3.289955815632636e-04	2.176162e+00
3.299955815632636e-04	2.116416e+00
3.309955815632636e-04	2.066894e+00
3.319955815632637e-04	2.026981e+00
3.329955815632637e-04	1.995721e+00
3.349955815632637e-04	1.954892e+00
3.359955815632637e-04	1.943882e+00
3.376852150034309e-04	1.936821e+00
3.385515785155839e-04	1.938799e+00
3.399603834875059e-04	1.950310e+00
3.422317759124219e-04	1.993966e+00
3.432317759124219e-04	2.024898e+00
3.434817759124219e-04	2.034230e+00
